ID,Room Name,Building,Room Number,Room Type,WD Room Type,Department,Seating,"Technology/Equipment Additional Notes",Technology Details,PC CCID,System,System Name,Operating System,Optical Drive,"Wireless Projection (Solstice)",Number of Lab Computers,Record / Stream,"Video Conferencing (Zoom Room)",Phone in Room,Photo Index,Photo URL,Photo 360 View,,,,,,,,
6750,Davis 307,Davis,307,Seminar,Classroom,Psych,20,"Projector, Eno board",Oppo BluRay,9020-023024,PC,,Windows,Yes,No,,No,No,,42,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_307_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_307_2024.jpg""]",,,,,,,,
6751,Davis 308,Davis,308,Computer Lab,Computer Classroom,CompSci/Math,32,"Projector, 35 Classroom iMacs, Printer",Oppo BluRay,190372,iMac,,Mac,Yes,No,35,No,No,,43,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_308_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_308_2024.jpg""]",,,,,,,,
6752,Diamond 122,Diamond,122,Classroom,Classroom,Gov/Econ,60,"Projector, Acoustic Panels, Microphone (adjustable, wireless)",,5090-210787,PC,,Windows,Yes,Yes,,No,No,,1,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_122_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_122_2024.jpg""]",,,,,,,,
6753,Diamond 123,Diamond,123,ALC,Classroom,Goldfarb,26,"Projector, 4 TVs",,210171,Mac Mini,,Mac,Yes,Yes,,No,No,,"REQUIRED, ROOM IN USE",,,,,,,,,,
6754,Diamond 141,Diamond,141,Classroom,Classroom,Gov/Econ,50,"Projector, Acoustic Panels ",,7050-180031,PC,,Windows,Yes,Yes,,No,No,,3,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_141_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_141_2024.jpg""]",,,,,,,,
6812,Diamond 142 (Ostrove),Diamond,142 (Ostrove),Auditorium,Lecture Hall,Gov/Econ,182,"3 Projectors, Acoustic Panels, Microphone (adjustable, wireless)",Oppo BluRay,210920,Mac Mini,,Both,Yes,Yes,,Yes,No,,2,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_142-Ostrove_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_142-Ostrove_2024.jpg""]",,,,,,,,
6755,Diamond 145,Diamond,145,Classroom,Classroom,Gov/Econ,40,"Projector, Acoustic Panels",,5090-210802,PC,,Windows,Yes,Yes,,No,No,,4,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_145_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_145_2024.jpg""]",,,,,,,,
3,Diamond 146,Diamond,146,Conference,Seminar Classroom,,,Projector,,210898,Mac Mini,,Mac,Yes,No,,,,,6,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_146_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_146_2024.jpg""]",,,,,,,,
6756,Diamond 153,Diamond,153,Classroom,Classroom,Gov/Econ,40,"Projector, Acoustic panels",,7050-180026,PC,,Windows,Yes,Yes,,No,No,,5,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_153_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_153_2024.jpg""]",,,,,,,,
6757,Diamond 221,Diamond,221,Seminar,Seminar Classroom,Soc,20,Projector,,180298,iMac,,Mac,Yes,Yes,,No,No,,7,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_221_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_221_2024.jpg""]",,,,,,,,
6758,Diamond 222,Diamond,222,Computer Lab,Computer Classroom,GIS,16,"Projector, B/W Printer, Color Printer, Scanner",Height adjustable standing desk,5720-180446,PC,,Windows,Yes,Yes,16,No,No,,8,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_222_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_222_2024.jpg""]",,,,,,,,
6759,Diamond 223,Diamond,223,Seminar,Seminar Classroom,EnvS,20,Projector,,7050-180028,PC,,Windows,Yes,Yes,,No,No,,9,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_223_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_223_2024.jpg""]",,,,,,,,
6760,Diamond 241,Diamond,241,Seminar,Seminar Classroom,Gov ,20,Projector,,210909,Mac Mini,,Mac,Yes,Yes,,No,No,,10,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_241_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_241_2024.jpg""]",,,,,,,,
6761,Diamond 242,Diamond,242,Seminar,Seminar Classroom,SciTech,24,Projector,,210913,Mac Mini,,Mac,Yes,Yes,,No,No,,11,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_242_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_242_2024.jpg""]",,,,,,,,
6762,Diamond 243,Diamond,243,Seminar,Seminar Classroom,AfAmer,24,Projector,,210916,Mac Mini,,Mac,Yes,Yes,,No,No,,12,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_243_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_243_2024.jpg""]",,,,,,,,
6763,Diamond 322,Diamond,322,Computer Lab,Computer Classroom,Math/Econ,24,"Projector, Classroom Dells, Printer",Height adjustable standing desk,5250-180188,PC,,Windows,Yes,Yes,24,No,No,,13,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_322_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_322_2024.jpg""]",,,,,,,,
6764,Diamond 323,Diamond,323,Seminar,Seminar Classroom,Anth,20,Projector,,210896,Mac Mini,,Mac,Yes,Yes,,No,No,,14,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_323_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_323_2024.jpg""]",,,,,,,,
6765,Diamond 341,Diamond,341,Seminar,Seminar Classroom,Econ,20,Projector,,5090-210784,PC,,Windows,Yes,Yes,,No,No,,15,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_341_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_341_2024.jpg""]",,,,,,,,
6766,Diamond 342,Diamond,342,grpwork,Seminar Classroom,(Classroom),24,Projector ,,7050-180020,PC,,Windows,Yes,Yes,,No,No,,16,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_342_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_342_2024.jpg""]",,,,,,,,
6767,Diamond 343,Diamond,343,Seminar,Seminar Classroom,Gov,20,Projector,,7050-180023,PC,,Windows,Yes,Yes,,No,No,,17,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_343_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_343_2024.jpg""]",,,,,,,,
6768,Diamond 344,Diamond,344,grpwork,Seminar Classroom,(Classroom),24,"Projector, Acoustic panels ",,210813,Mac Mini,,Mac,Yes,Yes,,Yes,No,,18,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_344_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Diamond_344_2024.jpg""]",,,,,,,,
11002,Gordon 110 (Studio 1),Gordon,110,Studio,Studio,,,Projector,,,,,,,,,Yes,No,,,,,,,,,,,,
11003,Gordon 120 (Arts Incubator),Gordon,120,Computer Lab/Seminar,Computer Classroom,,,"Projector, various synthesizers, 2 3D printers, printer, postscript printer, TV, Rokit speakers, dual monitor lab computers ",,230184,Mac Mini,,Mac,No,Yes,16,Yes,No,,19,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_120_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_120_2024.jpg""]",,,,,,,,
11004,Gordon 130 (Studio 2),Gordon,130,Studio,Studio,,,,,,,,,,,,Yes,No,,,,,,,,,,,,
11005,Gordon 140 (Performance Hall),Gordon,140,Auditorium,Lecture Hall,,,,,,,,,,,,Yes,No,,,,,,,,,,,,
11006,Gordon 180 (Green Room),Gordon,180,Classroom,Classroom,,,Projector,,,,,,No,Yes,,Yes,No,,20,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_180_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_180_2024.jpg""]",,,,,,,,
11007,Gordon 190 (Scene Shop),Gordon,190,Lab/Seminar,Instructional Lab,,,,,,,,,,,,No,No,,,,,,,,,,,,
11008,Gordon 220 (Studio 3),Gordon,220,Studio,Studio,,,,,,,,,,,,Yes,No,,,,,,,,,,,,
11009,Gordon 270,Gordon,270,Seminar,Seminar Classroom,,,"Projector, acoustic panels",,,,,,No,Yes,,No,No,,21,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_270_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_270_2024.jpg""]",,,,,,,,
11010,Gordon 280 (Rehearsal Room),Gordon,280,Studio,Studio,,,,,,,,,No,Yes,,Yes,No,,,,,,,,,,,,
11011,Gordon G10 (Film Screening),Gordon,G10,Auditorium,Lecture Hall,,,"Projector, film screen",,,,,,Yes,Yes,,No,No,,22,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_G10_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_G10_2024.jpg""]",,,,,,,,
11012,Gordon G60,Gordon,G60,Seminar,Seminar Classroom,,,"Projector, acoustic pads",,,,,,No,Yes,,No,No,,23,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_G60_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Gordon_G60_2024.jpg""]",,,,,,,,
